125	125	125	125	125	125	125	125	125	125	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	17.5	0	17.5	17.5	17.5	10	17.5	7.5	15	17.5	112.5	112.5	112.5	112.5	112.5	117.5	112.5	117.5	117.5	112.5	85	85	125	125	125	125	85	125	125	85	
125	125	125	125	125	125	125	125	125	125	25	25	25	25	25	25	25	25	25	25	17.5	17.5	0	7.5	7.5	17.5	17.5	17.5	17.5	17.5	112.5	112.5	112.5	112.5	112.5	117.5	112.5	117.5	117.5	112.5	82.5	82.5	125	125	125	125	82.5	125	125	82.5	
125	125	125	125	125	125	125	125	125	125	25	25	25	25	25	25	25	25	25	25	17.5	17.5	7.5	0	7.5	17.5	17.5	17.5	17.5	17.5	112.5	112.5	112.5	112.5	112.5	117.5	112.5	117.5	117.5	112.5	82.5	82.5	125	125	125	125	82.5	125	125	82.5	
125	125	125	125	125	125	125	125	125	125	25	25	25	25	25	25	25	25	25	25	17.5	17.5	7.5	7.5	0	17.5	17.5	17.5	17.5	17.5	112.5	112.5	112.5	112.5	112.5	117.5	112.5	117.5	117.5	112.5	82.5	82.5	125	125	125	125	82.5	125	125	82.5	
125	125	125	125	125	125	125	125	125	125	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	17.5	10	17.5	17.5	17.5	0	17.5	10	15	17.5	112.5	112.5	112.5	112.5	112.5	117.5	112.5	117.5	117.5	112.5	85	85	125	125	125	125	85	125	125	85	
125	125	125	125	125	125	125	125	125	125	25	25	25	25	25	22.5	25	22.5	25	25	7.5	17.5	17.5	17.5	17.5	17.5	0	17.5	17.5	7.5	112.5	112.5	112.5	112.5	112.5	117.5	112.5	117.5	117.5	112.5	82.5	82.5	125	125	125	125	82.5	125	125	82.5	
125	125	125	125	125	125	125	125	125	125	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	17.5	7.5	17.5	17.5	17.5	10	17.5	0	15	17.5	112.5	112.5	112.5	112.5	112.5	117.5	112.5	117.5	117.5	112.5	85	85	125	125	125	125	85	125	125	85	
125	125	125	125	125	125	125	125	125	125	25	25	25	25	25	25	25	25	25	25	17.5	15	17.5	17.5	17.5	15	17.5	15	0	17.5	112.5	112.5	112.5	112.5	112.5	117.5	112.5	117.5	117.5	112.5	85	85	125	125	125	125	85	125	125	85	
125	125	125	125	125	125	125	125	125	125	25	25	25	25	25	22.5	25	22.5	25	25	7.5	17.5	17.5	17.5	17.5	17.5	7.5	17.5	17.5	0	112.5	112.5	112.5	112.5	112.5	117.5	112.5	117.5	117.5	112.5	82.5	82.5	125	125	125	125	82.5	125	125	82.5	
62.5	60	62.5	62.5	62.5	60	62.5	60	65	62.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	0	22.5	35	35	35	32.5	22.5	32.5	32.5	22.5	90	90	62.5	62.5	62.5	65	90	65	65	90	
62.5	60	62.5	62.5	62.5	60	62.5	60	65	62.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	22.5	0	35	35	35	32.5	20	32.5	32.5	15	90	90	62.5	62.5	62.5	65	90	65	65	90	
70	65	70	70	70	65	70	65	70	70	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	35	35	0	20	17.5	32.5	35	32.5	35	35	72.5	72.5	70	70	70	70	72.5	70	70	72.5	
70	65	70	70	70	65	70	65	70	70	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	35	35	20	0	20	32.5	35	32.5	35	35	72.5	72.5	70	70	70	70	72.5	70	70	72.5	
70	65	70	70	70	65	70	65	70	70	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	35	35	17.5	20	0	32.5	35	32.5	35	35	72.5	72.5	70	70	70	70	72.5	70	70	72.5	
65	65	65	65	65	65	65	65	67.5	65	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	32.5	32.5	32.5	32.5	32.5	0	32.5	17.5	30	32.5	75	75	67.5	67.5	67.5	67.5	75	67.5	67.5	75	
62.5	60	62.5	62.5	62.5	60	62.5	60	65	62.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	22.5	20	35	35	35	32.5	0	32.5	32.5	20	90	90	62.5	62.5	62.5	65	90	65	65	90	
65	65	65	65	65	65	65	65	67.5	65	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	32.5	32.5	32.5	32.5	32.5	17.5	32.5	0	30	32.5	75	75	67.5	67.5	67.5	67.5	75	67.5	67.5	75	
60	55	60	60	60	55	60	55	62.5	60	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	117.5	32.5	32.5	35	35	35	30	32.5	30	0	32.5	72.5	72.5	62.5	62.5	62.5	62.5	72.5	62.5	60	72.5	
62.5	60	62.5	62.5	62.5	60	62.5	60	65	62.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	112.5	22.5	15	35	35	35	32.5	20	32.5	32.5	0	90	90	62.5	62.5	62.5	65	90	65	65	90	
95	92.5	97.5	97.5	97.5	92.5	95	92.5	95	95	85	85	85	85	85	85	85	85	85	85	82.5	85	82.5	82.5	82.5	85	82.5	85	85	82.5	90	90	72.5	72.5	72.5	75	90	75	72.5	90	0	2.5	85	85	85	87.5	2.5	87.5	85	2.5	
95	92.5	97.5	97.5	97.5	92.5	95	92.5	95	95	85	85	85	85	85	85	85	85	85	85	82.5	85	82.5	82.5	82.5	85	82.5	85	85	82.5	90	90	72.5	72.5	72.5	75	90	75	72.5	90	2.5	0	85	85	85	87.5	2.5	87.5	85	2.5	
25	25	22.5	22.5	22.5	25	25	25	25	25	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	62.5	62.5	70	70	70	67.5	62.5	67.5	62.5	62.5	85	85	0	2.5	5	20	85	20	15	85	
25	25	22.5	22.5	22.5	25	25	25	25	25	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	62.5	62.5	70	70	70	67.5	62.5	67.5	62.5	62.5	85	85	2.5	0	5	20	85	20	15	85	
25	25	22.5	22.5	22.5	25	25	25	25	25	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	62.5	62.5	70	70	70	67.5	62.5	67.5	62.5	62.5	85	85	5	5	0	20	85	20	15	85	
25	22.5	20	20	20	22.5	25	22.5	25	25	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	65	65	70	70	70	67.5	65	67.5	62.5	65	87.5	87.5	20	20	20	0	87.5	2.5	22.5	87.5	
95	92.5	97.5	97.5	97.5	92.5	95	92.5	95	95	85	85	85	85	85	85	85	85	85	85	82.5	85	82.5	82.5	82.5	85	82.5	85	85	82.5	90	90	72.5	72.5	72.5	75	90	75	72.5	90	2.5	2.5	85	85	85	87.5	0	87.5	85	2.5	
25	22.5	20	20	20	22.5	25	22.5	25	25	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	65	65	70	70	70	67.5	65	67.5	62.5	65	87.5	87.5	20	20	20	2.5	87.5	0	22.5	87.5	
25	25	22.5	22.5	22.5	25	25	25	27.5	25	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	65	65	70	70	70	67.5	65	67.5	60	65	85	85	15	15	15	22.5	85	22.5	0	85	
95	92.5	97.5	97.5	97.5	92.5	95	92.5	95	95	85	85	85	85	85	85	85	85	85	85	82.5	85	82.5	82.5	82.5	85	82.5	85	85	82.5	90	90	72.5	72.5	72.5	75	90	75	72.5	90	2.5	2.5	85	85	85	87.5	2.5	87.5	85	0	
